a,b,c,proc,procper
-2.00000000000000,-2000.00000000000,-4000.00000000000,0.0,0.0
-4982.55458203304,-6978.61217901844,-8976.66783165648,50.0,50.0
-6377.30663419264,-8262.96100151175,-10150.5029107401,75.0,75.0
-3234.84305047184,-4676.73968155087,-6120.07965260095,88.0,88.0
1368.28345186537,446.127184333467,-476.952162545307,94.0,94.0
5045.90337887690,4521.07160960363,3995.71448320396,97.0,97.0
8186.62751153677,7995.50071261918,7804.18259558456,99.0,99.0
9071.67436778618,8973.94940962383,8876.12662868055,99.5,99.5
9253.82139724173,9175.29000796510,9096.68000868920,99.6,99.6
9437.71335433999,9378.54983479052,9319.32709249874,99.7,99.7
9623.36431027842,9583.74436686957,9544.08476385771,99.8,99.8
9810.78843544159,9790.88919006674,9770.97002552735,99.9,99.9
10000.0000000000,10000.0000000000,10000.0000000000,100.0,100.0
