(Date) Time	Watts
5:26:06 PM	134.3
5:26:07 PM	133.9
5:26:08 PM	134
5:26:09 PM	134.6
5:26:10 PM	134.3
5:26:11 PM	134.1
5:26:12 PM	150.1
5:26:13 PM	150
5:26:14 PM	131.3
5:26:15 PM	131.3
5:26:16 PM	131.3
5:26:17 PM	131.4
5:26:18 PM	131.5
5:26:19 PM	143.1
5:26:20 PM	188.1
5:26:21 PM	126.9
5:26:22 PM	101.6
5:26:23 PM	106.9
5:26:24 PM	113.5
5:26:25 PM	99.8
5:26:26 PM	99.8
5:26:27 PM	99.9
5:26:28 PM	99.8
5:26:29 PM	99.9
5:26:30 PM	99.9
5:26:31 PM	99.7
5:26:32 PM	99.8
5:26:33 PM	99.7
5:26:34 PM	99.7
5:26:35 PM	99.6
5:26:36 PM	99.5
5:26:37 PM	99.5
5:26:38 PM	99.5
5:26:39 PM	99.6
5:26:40 PM	99.7
5:26:41 PM	99.6
5:26:42 PM	99.7
5:26:43 PM	99.7
5:26:44 PM	99.6
5:26:45 PM	99.5
5:26:46 PM	99.5
5:26:47 PM	99.5
5:26:48 PM	99.6
5:26:49 PM	99.7
5:26:50 PM	99.6
5:26:51 PM	99.5
5:26:52 PM	99.5
5:26:53 PM	100
5:26:54 PM	99.9
5:26:55 PM	99.7
5:26:56 PM	99.7
5:26:57 PM	99.7
5:26:58 PM	138.2
5:26:59 PM	156
5:27:00 PM	270.8
5:27:01 PM	262.3
5:27:02 PM	238.9
5:27:03 PM	227.7
5:27:04 PM	213.8
5:27:05 PM	155.4
5:27:06 PM	132.1
5:27:07 PM	132.3
5:27:08 PM	132.3
5:27:09 PM	132.3
5:27:10 PM	132.3
5:27:11 PM	132.1
5:27:12 PM	132.1
5:27:13 PM	132
5:27:14 PM	132
5:27:15 PM	132.2
5:27:16 PM	132.1
5:27:17 PM	132.1
5:27:18 PM	132.2
5:27:19 PM	132.2
5:27:20 PM	132
5:27:21 PM	132
5:27:22 PM	131.9
5:27:23 PM	131.8
5:27:24 PM	131.9
5:27:25 PM	131.9
5:27:26 PM	131.9
5:27:27 PM	131.9
